17621	53180	'	0	jye
71743	408466	'	0	zxp
72522	408428	'	0	fua
70708	408304	'	0	vfo
71533	408226	'	0	rmj
71732	408535	'	0	fvs
71995	408263	'	0	drl
69379	408287	'	0	jrp
72651	408434	'	0	007
72001	408242	'	0	ucs
72558	408477	'	0	lsq
70826	408264	'	0	bkh
98768	307601	'	0	phx
72516	408557	'	0	doq
17632	57879	'	0	bco
72082	408251	'	0	zxv
72336	408368	'	0	sla
71752	408187	'	0	oyf
98754	307668	'	0	bpy
71538	408588	'	0	ywz
71947	408441	-	0	nvd
17986	0	'	1	nvd
0	7203	-	0	fmz
453	80370	'	1	dzi
0	7216	-	1	rlu
49942	253440	-	1	syo
0	7239	-	1	ioc
49536	253520	'	1	gpw
49196	254139	'	1	tku
50652	254582	'	1	bzi
19006	61426	'	1	olm
54400	251766	'	1	zng
49487	253865	'	1	whu
20953	60626	'	1	ity
21585	58876	'	1	nwl
21987	58498	'	1	edb
49705	254388	-	1	ogp
49639	254007	'	1	ulf
54370	251916	'	1	rxl
28	58294	-	1	gih
452	80595	'	1	hzx
49408	254307	'	1	hca
0	7457	-	1	icd
49839	254629	-	1	ckb
526	80611	-	1	ond
49165	254569	-	1	aws
0	7687	-	1	viu
0	7704	-	1	mru
49604	254587	'	1	kao
50399	254872	'	1	adg
54150	252463	'	1	iec
0	7721	'	1	yku
49848	254844	'	1	ncb
417	80925	-	1	hal
0	7765	-	1	exg
50104	253846	'	1	juv
53988	252679	'	1	hmt
19960	62116	'	1	vfr
49529	254043	-	1	rpl
53999	252711	'	1	xjg
9	80906	'	1	tow
49319	254292	'	1	kbm
49467	254180	'	1	ybz
52948	253788	'	1	rcl
49455	254480	'	1	usx
49228	254717	-	1	rou
49280	254469	'	1	zcs
0	683	'	1	fmz
0	691	'	1	rlu
12485	666	'	1	syo
0	664	-	1	ioc
12426	570	'	1	ogp
7	514	'	1	gih
0	479	-	1	icd
12459	451	'	1	ckb
131	445	'	1	ond
12291	288	'	1	aws
0	297	'	1	viu
0	287	'	1	mru
104	239	-	1	hal
0	235	'	1	exg
12382	201	'	1	rpl
12307	149	'	1	rou
0	92	'	1	ioc
0	67	'	1	icd
26	34	'	1	hal
71700	409663	'	0	hdo
72224	409431	-	0	yme
72506	409551	'	1	jrm
70860	409578	'	1	fia
71920	409677	'	1	avn
18056	38	'	1	yme
49229	255147	'	0	atu
14	81593	-	0	xfa
22270	59460	'	1	ylb
50224	255160	'	1	kmx
0	8539	-	1	dok
21865	59835	'	1	lvu
49284	254889	'	1	xeb
0	8562	-	1	vqx
0	8573	-	1	wbm
50011	255211	'	1	fei
48970	255352	'	1	hog
0	8590	'	1	esp
0	8597	-	1	fhn
420	81822	-	1	few
49675	254760	-	1	oaw
0	8660	-	1	bqk
0	8669	-	1	dkt
0	8682	-	1	nfo
49656	254807	'	1	fjm
49533	254854	'	1	zpd
49509	255446	-	1	tlz
0	8752	-	1	ufm
0	8774	'	1	tpm
49299	255087	'	1	ysh
49594	254971	'	1	san
49124	255646	'	1	tan
235	763	'	1	exg
12230	59692	'	1	ags
0	8795	'	1	tar
22378	60373	'	1	ore
49843	254924	'	1	ghf
0	8814	'	1	jxp
0	8802	-	1	vkx
0	8830	-	1	fpg
54072	253661	'	1	fqi
471	81998	'	1	jzy
49274	255236	'	1	gqm
0	8849	-	1	vkg
0	8856	'	1	cry
49992	255983	'	1	kvo
3	342	'	1	xfa
0	322	'	1	dok
0	305	'	1	vqx
0	307	-	1	wbm
0	286	'	1	fhn
105	273	-	1	few
12418	272	'	1	oaw
0	281	-	1	bqk
0	284	'	1	dkt
0	281	'	1	nfo
12377	211	'	1	tlz
0	215	'	1	ufm
0	159	'	1	vkx
0	139	'	1	fpg
0	135	-	1	vkg
0	102	'	1	wbm
26	81	'	1	few
0	63	'	1	bqk
0	28	'	1	vkg
71562	410252	-	0	sea
100459	309600	'	1	gkr
72660	410096	'	1	dsz
98786	309590	-	1	boy
73646	410297	'	1	amn
71700	410369	-	1	sdy
71996	410338	'	1	jad
71693	410534	'	1	zgq
17890	85	-	1	sea
24696	68	'	1	boy
17925	53	'	1	sdy
4472	13	'	1	sea
50422	256350	'	0	czv
50266	256401	'	0	juf
50496	256597	'	0	dly
50010	256300	'	0	xch
50309	256438	'	0	bmc
50418	256680	'	0	qwd
49320	255641	-	0	joy
54077	254141	'	1	jzv
21881	60626	'	1	wps
49717	256440	'	1	zht
12330	42	'	1	joy
72440	411280	'	0	xcj
69223	411179	'	0	mwi
