pan	﻿entretien: underhåll
htc	guinder: vinscha
tgm	brider: betsla
qaf	bât m: packsadel
aye	hisser: hissa upp
ihe	marais m: träsk
kri	abîmer: förstöra
mtw	toile f: tyg
ebg	attraper: fånga
pot	écu m: historiskt franskt mynt; vapensköld
pjv	bénir: välsigna
qkx	germain: köttslig
uag	cousin issu de germain: syssling
mki	rage de: passion för
rjk	verser: hälla, utgjuta
mok	coup m de foudre f: åsknedslag
ypj	rade f: skyddad hamn
vno	éperdu: utom sig
pow	digne de: värd, förtjänt av
lxr	frais mpl: omkostnader
epi	essuyer: utsättas för
oyk	bile f: galla; vrede
law	gageure: utmaning, omöjlighet
tux	savant m: vetenskapsman
bck	voile f: segel
ihr	voile m: slöja
sqy	exécration: avsky
lbp	éprouver: erfara
rji	mille m: sjömil
jto	engloutir: sluka
wsn	chaloupe: livbåt
opi	submerger: sänka
hej	scélérat m: skurk
zum	s'emparer de: bemäktiga sig
mzr	foire f: mässa
txr	épervier m: sparvhök
cwe	cabaret m: nattklubb; kafé, krog
rwc	empressement: fjäsk; tjänstvillighet
iub	cassette f: skrin
nsv	prodigieusement: enormt
fik	guérir: tillfriskna; bota
zxf	saignée f: åderlåtning
rvf	habitué m: stamkund
pkv	importuner: besvära
nvz	rudement: hårt
wnk	as: äss, mästare
kzc	effronté: oförskämd
jog	voirie f: vägnät
ehj	fange f: smuts
zlm	venin m: gift
jyu	friponnerie f: skälmaktighet
zav	impitoyable: skoningslös
tyu	ému: rörd
ein	laquais m: lakej; betjänt
kgt	médisance: smutskastning
zub	insipide: smaklös
gzk	convive: bordsgäst
qnz	impertinent: uppnosig
xhe	inonder: översvämma
qov	inouï: oerhörd, fantastisk
cle	pesamment: mödosamt
qxg	gâter: fördärva
hoa	sublime: upphöjd, härlig
ecv	de travers: på sned, på tok
tij	pis: värre
ejk	mouchoir m: näsduk
dwb	jarretière f: strumpeband
wgm	languir: försmäkta; längta
iaf	remords m: samvetskval
yvx	procurer: förorsaka, ge
tkw	arroser: skölja ned
bge	incontinent: genast
nji	fripon: skojare, thuv
jne	cachot: fängelsehåla
lip	parricide m: fadermord
ivm	non pas que: inte för att, inte som om
zof	étourdi: tanklös
fdm	côtoyer: åka längs; stå på gränsen till
nml	maudit: förbannad
mxz	métis: halvblods-, mulatt
oae	gager: slå vad om
kfz	aborder qn: närma sig ngn
dkz	cordelier: gråmunk
dsy	acariâtre: vresig
okv	outré: chockerad
xsf	rhume m: förkylning
